ssl_history_letter,history_meaning,ssl_source
^,direction flipped,flipped
H,hello_request,originator
C,client_hello,originator
S,server_hello,originator
V,hello_verify_request,originator
T,NewSessionTicket,originator
X,certificate,originator
K,server_key_exchange,originator
R,certificate_request,originator
N,server_hello_done,originator
Y,certificate_verify,originator
G,client_key_exchange,originator
F,finished,originator
W,certificate_url,originator
U,certificate_status,originator
A,supplemental_data,originator
Z,unassigned_handshake_type,originator
I,change_cipher_spec,originator
B,heartbeat,originator
D,application_data,originator
E,end_of_early_data,originator
O,encrypted_extensions,originator
P,key_update,originator
M,message_hash,originator
J,hello_retry_request,originator
L,alert,originator
Q,unknown_content_type,originator
h,hello_request,responder
c,client_hello,responder
s,server_hello,responder
v,hello_verify_request,responder
t,NewSessionTicket,responder
x,certificate,responder
k,server_key_exchange,responder
r,certificate_request,responder
n,server_hello_done,responder
y,certificate_verify,responder
g,client_key_exchange,responder
f,finished,responder
w,certificate_url,responder
u,certificate_status,responder
a,supplemental_data,responder
z,unassigned_handshake_type,responder
i,change_cipher_spec,responder
b,heartbeat,responder
d,application_data,responder
e,end_of_early_data,responder
o,encrypted_extensions,responder
p,key_update,responder
m,message_hash,responder
j,hello_retry_request,responder
l,alert,responder
q,unknown_content_type,responder